citation_key,achado,fonte
SaiZhang2025,"Texto completo apresenta AgileGen como framework agile de desenvolvimento generativo humano-IA, com criterios de aceitacao em Gherkin, artefatos de requisitos, decisao humana, memoria e iteracao ate validacao.",justificativa
SeyedmoeinMohsenimofidi2025,"Context Engineering for AI Agents in Open-Source Software (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
XiangzheXu2025,"ASTRA (Framework); papeis: agentes, desenvolvedor, usuario; execucao: IDE, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, avaliacao empirica; artefatos: tarefas, codigo, testes, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Alsegier2026,"From Feature Variability to Agency Variability (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: tarefas, codigo, testes, logs, modelos, prompts [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Anon2026,"DevFlow (Framework); papeis: agentes, desenvolvedor, arquiteto, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo; validacao: revisao humana, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
BESLEAGA2026,"GABBE (Framework); papeis: agentes, personas, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, PRDs, tarefas, codigo, testes, logs [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Chechik2026,"Agentic AI in the next frontier of model-based software engineering (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
DeepakBabuPiskala2026,"Spec-Driven Development (Framework); papeis: agentes, desenvolvedor, product manager, arquiteto, testador, usuario; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, PRDs, tarefas, codigo, testes, logs [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Khan2026,"Powered (Framework); papeis: personas, usuario, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo; validacao: revisao humana, avaliacao empirica, traces ou auditoria; artefatos: tarefas, codigo, testes, logs, documentacao [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Macedo2026,"Reversa (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration (Framework); papeis: agentes, personas, arquiteto, usuario; execucao: IDE, CLI, pipeline, edicao de codigo, testes, browser; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Paiva2026,"Agentic RTE (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, repositorio, pipeline, edicao de codigo, browser; validacao: revisao humana, checklists, avaliacao empirica, traces ou auditoria; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
SKaruppuchamy2026,"Augmented (Framework); papeis: agentes, desenvolvedor, arquiteto, testador, usuario, revisor; execucao: IDE, CLI, repositorio, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, tarefas, codigo, testes, logs, modelos [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
Watfa2026,"Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems (Framework); papeis: agentes, desenvolvedor, arquiteto, usuario, revisor; execucao: IDE, pipeline, edicao de codigo, testes; validacao: testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas; artefatos: specs, PRDs, tarefas, codigo, testes, logs [achado consolidado dos campos estruturados; justificativa de 1a passada generica]",estruturado
