citation_key,year,title,doi,nome,natureza,origem,artefatos,papeis,execucao,validacao,portabilidade,evidencia,riscos,rqs,confianca
MitulModi2024,2024,Transforming Software Development Through Generative AI : A Systematic Analysis of Automated Development Practices,10.32628/cseit24106197,Transforming Software Development Through Generative AI,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","desenvolvedor, arquiteto, usuario, revisor","IDE, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em International Journal of Scientific Research in Computer Science Engineering and Information Technology, avaliacao empirica","seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Ulfsnes2024,2024,Transforming Software Development with Generative AI: Empirical Insights on Collaboration and Workflow,10.1007/978-3-031-55642-5_10,Transforming Software Development with Generative AI,Framework,Industria ou pratica profissional,"specs, tarefas, codigo, testes, logs, modelos","personas, desenvolvedor, arquiteto, testador, usuario, revisor","IDE, CLI, repositorio, pipeline, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em Generative AI for Effective Software Development, estudo de caso, avaliacao empirica, repositorio publico","seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
YuntongZhang2024,2024,AutoCodeRover: Autonomous Program Improvement,10.1145/3650212.3680384,AutoCodeRover,Framework,Industria ou pratica profissional,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, desenvolvedor, usuario","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","paper ou registro tecnico, avaliacao empirica, repositorio publico","confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
ZeeshanRasheed2024,2024,Codepori: Large-Scale System for Autonomous Software Development Using Multi-Agent Technology,10.2139/ssrn.4979510,Codepori,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, desenvolvedor, product manager, arquiteto, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em SSRN Electronic Journal, estudo de caso, avaliacao empirica, repositorio publico","rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Akbar2025,2025,Agentic AI in Software Engineering: Practitioner Perspectives Across the Software Development Life Cycle,10.2139/ssrn.5520159,Agentic AI in Software Engineering,Framework,Industria ou pratica profissional,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, desenvolvedor, product manager, arquiteto, testador","IDE, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em Elsevier BV, avaliacao empirica, repositorio publico","seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Baron2025,2025,Towards an Adoption Framework to Foster Trust in AI-Assisted Software Engineering,10.1109/cain66642.2025.00038,Towards,Framework,Academia,"tarefas, codigo, testes, logs, modelos","desenvolvedor, usuario, revisor","IDE, pipeline, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria",dependencia de IDE ou ambiente,"paper em 2025 IEEE/ACM 4th International Conference on AI Engineering - Software Engineering for AI (CAIN), estudo de caso, avaliacao empirica","seguranca, contexto","RQ1, RQ2, RQ3, RQ4",alta
Dam2025,2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,10.1109/asew67777.2025.00063,Towards,Framework,Academia,"tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, usuario","IDE, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, traces ou auditoria","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente",paper em 2025 40th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),"governanca, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",media
Gadamsetty2025,2025,Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation,10.1109/aixse64906.2025.00017,Generative AI for Software Engineering,Framework,Academia,"specs, PRDs, tarefas, codigo, testes, logs","desenvolvedor, product manager, arquiteto, usuario, revisor","IDE, CLI, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, traces ou auditoria","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente",paper em 2025 Conference on AI x Software Engineering (AIxSE),"confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
JundaHe2025,2025,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",10.1145/3712003,LLM-Based Multi-Agent Systems for Software Engineering,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, desenvolvedor, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, avaliacao empirica, traces ou auditoria","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em ACM Transactions on Software Engineering and Methodology, survey","seguranca, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",media
LiyiCai2025,2025,AI-Driven Self-Evolving Software: A Promising Path Toward Software Automation,10.48550/arXiv.2510.00591,AI-Driven Self-Evolving Software,Framework,Academia com artefato publico,"tarefas, codigo, testes, logs, modelos, prompts","agentes, personas, desenvolvedor, arquiteto, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, artefato publico, dependencia de IDE ou ambiente","preprint arXiv, repositorio publico","confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Merchant2025,2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,10.1109/aixse64906.2025.00019,Verifiable,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em 2025 Conference on AI x Software Engineering (AIxSE), avaliacao empirica","seguranca, governanca, rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
RanjanSapkota2025,2025,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,10.48550/arXiv.2505.19443,Agentic coding,Framework,Academia,"specs, PRDs, tarefas, codigo, testes, logs","agentes, desenvolvedor, product manager, arquiteto, testador, usuario","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, avaliacao empirica","seguranca, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
SaiZhang2025,2025,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,10.1145/3702987,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,Framework,Academia,"specs, PRDs, tarefas, codigo, testes, logs","agentes, personas, desenvolvedor, product manager, arquiteto, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, browser","revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em ACM Transactions on Software Engineering and Methodology, repositorio publico","confiabilidade, overhead","RQ1, RQ2, RQ3, RQ4",alta
SeyedmoeinMohsenimofidi2025,2025,Context Engineering for AI Agents in Open-Source Software,10.48550/arXiv.2510.21413,Context Engineering for AI Agents in Open-Source Software,Framework,Academia com artefato publico,"tarefas, codigo, testes, logs, modelos, prompts","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, artefato publico, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, avaliacao empirica, repositorio publico","lock-in, seguranca, contexto","RQ1, RQ2, RQ3, RQ4",alta
XiangzheXu2025,2025,ASTRA: Autonomous Spatial-Temporal Red-teaming for AI Software Assistants,10.48550/arXiv.2508.03936,ASTRA,Framework,Academia com artefato publico,"tarefas, codigo, testes, modelos, prompts","agentes, desenvolvedor, usuario","IDE, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, avaliacao empirica","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","preprint arXiv, avaliacao empirica, repositorio publico","seguranca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Alsegier2026,2026,From Feature Variability to Agency Variability: A Software Product-Line Engineering Framework for Governed Agentic AI Systems,10.20944/preprints202605.0741.v1,From Feature Variability to Agency Variability,Framework,Academia ou comunidade tecnica,"tarefas, codigo, testes, logs, modelos, prompts","agentes, personas, desenvolvedor, arquiteto, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em MDPI AG, avaliacao empirica","seguranca, governanca, rastreabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
Anon2026,2026,DevFlow: An Agentic AI Architecture Planning Platform for Software Engineering Workflows,10.64388/irev9i11-1717845,DevFlow,Framework,Academia,"tarefas, codigo, logs, modelos","agentes, desenvolvedor, arquiteto, revisor","IDE, repositorio, pipeline, edicao de codigo","revisao humana, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","paper em Iconic Research and Engineering Journals, avaliacao empirica, repositorio publico","seguranca, contexto","RQ1, RQ2, RQ3, RQ4",alta
BESLEAGA2026,2026,GABBE: A Neurocognitive Swarm Architecture for Agentic AI Software Engineering,10.36227/techrxiv.177220787.72010996/v1,GABBE,Framework,Academia,"specs, PRDs, tarefas, codigo, testes, logs","agentes, personas, desenvolvedor, arquiteto, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em Institute of Electrical and Electronics Engineers (IEEE), avaliacao empirica","seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Chechik2026,2026,Agentic AI in the next frontier of model-based software engineering: the arrival of AI-hyper-agile software engineering methods,10.1007/s10270-026-01362-0,Agentic AI in the next frontier of model-based software engineering,Framework,Academia ou comunidade tecnica,"tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em Software and Systems Modeling, avaliacao empirica","governanca, rastreabilidade, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
DeepakBabuPiskala2026,2026,Spec-Driven Development:From Code to Contract in the Age of AI Coding Assistants,10.48550/arXiv.2602.00180,Spec-Driven Development,Framework,Academia com artefato publico,"specs, PRDs, tarefas, codigo, testes, logs","agentes, desenvolvedor, product manager, arquiteto, testador, usuario","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","preprint arXiv, repositorio publico","drift, seguranca, governanca, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Khan2026,2026,AI-Powered Toolchain Framework for Agile Software Development in Startups,10.1007/978-3-032-04294-1_11,Powered,Framework,Academia ou comunidade tecnica,"tarefas, codigo, testes, logs, documentacao","personas, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo","revisao humana, avaliacao empirica, traces ou auditoria","ancorado em GitHub ou repositorio, dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","paper em Advances in Software Startups, estudo de caso, repositorio publico",seguranca,"RQ1, RQ2, RQ3, RQ4",alta
Macedo2026,2026,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,10.48550/arXiv.2605.18684,Reversa,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","dependencia possivel de LLM comercial, dependencia de IDE ou ambiente","preprint arXiv, estudo de caso, avaliacao empirica","governanca, rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Paduraru2026,2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",10.5220/0014840300004015,A Trace-Based Assurance Framework for Agentic AI Orchestration,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, personas, arquiteto, usuario","IDE, CLI, pipeline, edicao de codigo, testes, browser","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas",dependencia de IDE ou ambiente,"paper em Proceedings of the 21st International Conference on Evaluation of Novel Approaches to Software Engineering, avaliacao empirica","drift, seguranca, governanca, rastreabilidade, confiabilidade, overhead","RQ1, RQ2, RQ3, RQ4",alta
Paiva2026,2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,10.1145/3786161.3788461,Agentic RTE,Framework,Academia ou comunidade tecnica,"specs, tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, repositorio, pipeline, edicao de codigo, browser","revisao humana, checklists, avaliacao empirica, traces ou auditoria",dependencia de IDE ou ambiente,"paper em Proceedings of the 2026 7th International Workshop on Bots and Agents in Software Engineering, avaliacao empirica","rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
SKaruppuchamy2026,2026,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,10.1109/CCWC67433.2026.11393761,Augmented,Framework,Academia,"specs, tarefas, codigo, testes, logs, modelos","agentes, desenvolvedor, arquiteto, testador, usuario, revisor","IDE, CLI, repositorio, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","ancorado em GitHub ou repositorio, dependencia de IDE ou ambiente","paper em Computing and Communication Workshop and Conference, avaliacao empirica, repositorio publico","seguranca, governanca, rastreabilidade, confiabilidade, overhead, contexto","RQ1, RQ2, RQ3, RQ4",alta
Watfa2026,2026,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems: A Framework and Empirical Validation,10.2139/ssrn.6432373,Risk-Aware Requirements Engineering for Generative AI-Enabled Software Systems,Framework,Industria ou pratica profissional,"specs, PRDs, tarefas, codigo, testes, logs","agentes, desenvolvedor, arquiteto, usuario, revisor","IDE, pipeline, edicao de codigo, testes","testes automatizados, revisao humana, checklists, avaliacao empirica, traces ou auditoria, contratos ou politicas","artefato publico, dependencia de IDE ou ambiente","paper em Elsevier BV, avaliacao empirica, repositorio publico","drift, seguranca, governanca, rastreabilidade, confiabilidade, contexto","RQ1, RQ2, RQ3, RQ4",alta
