citation_key,title,year,decision,criterion,reason,reviewer,timestamp
Rusum2025,Agentic AI: Building Self-Directed Software Agents with Multimodal Reasoning,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Anon2026,DevFlow: An Agentic AI Architecture Planning Platform for Software Engineering Workflows,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Chechik2026,Agentic AI in the next frontier of model-based software engineering: the arrival of AI-hyper-agile software engineering methods,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Huang2025,AI Agents and Business Workflow,2025,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Khan2026,AI-Powered Toolchain Framework for Agile Software Development in Startups,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Georgievski2023,Software Development Life Cycle for Engineering AI Planning Systems,2023,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Fu2025,Agentic Specification Generator for Move Programs,2025,exclude,E3,Fonte foca uma tarefa isolada de engenharia de software sem evidenciar framework ou processo amplo.,screening-logger,2026-05-27T12:03:00Z
Huang2025,MALPRE: Malware Protocol Reverse Engineering through Code Slicing and Agentic Workflow,2025,exclude,E3,Fonte foca uma tarefa isolada de engenharia de software sem evidenciar framework ou processo amplo.,screening-logger,2026-05-27T12:03:00Z
Baron2025,Towards an Adoption Framework to Foster Trust in AI-Assisted Software Engineering,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Shafiq2026,AI-Driven Agentic Framework for Insider Threats Prevention and Detection in Secure Software Development Organizations: A Fuzzy AHP Approach,2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Esposito2026,"Agents Don't Just Think, They Communicate: Communication and Coordination Protocols for Agentic AI",2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
DoyleSpare2026,Agentic Workflow Drift and Agentic Workflow Subversion: A New Risk Taxonomy for the Governance of Agentic AI in Financial Services,2026,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Chelliah2026,Demystifying the agentic AI paradigm for accelerated software engineering,2026,exclude,missing I2/I3/I4,"Titulo e abstract nao mostram pelo menos dois entre artefatos persistentes, papeis/agentes/workflows e integracao/validacao.",screening-logger,2026-05-27T12:03:00Z
Vorel2025,The Future of Software Development,2025,exclude,E4,Fonte aparenta ser conteudo pouco verificavel ou promocional sem detalhes tecnicos suficientes no titulo e abstract.,screening-logger,2026-05-27T12:03:00Z
Gadamsetty2025,Generative AI for Software Engineering: Generative AI Effectiveness and Efficiency in Software Development Documentation,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
PeterKairouz2020,Advances and Open Problems in Federated Learning,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MichelePolese2023,"Understanding O-RAN: Architecture, Interfaces, Algorithms, Security, and Research Challenges",2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
RezaToorajipour2020,Artificial intelligence in supply chain management: A systematic literature review,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
BarbaraRitaBarricelli2019,"A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications",2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SangminPark2022,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SalvatoreCuomo2022,Scientific Machine Learning Through Physics-Informed Neural Networks: Where we are and What's Next,2022,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
InioluwaDeborahRaji2020,Closing the AI accountability gap,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SravanthiParasa2023,Framework and metrics for the clinical use and implementation of artificial intelligence algorithms into endoscopy practice: recommendations from the American Society for Gastrointestinal Endoscopy Artificial Intelligence Task Force,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
XiaoxuanLiu2020,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SebastienBubeck2023,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
KonstantinosIRoumeliotis2023,ChatGPT and Open-AI Models: A Preliminary Review,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
KamalChoudhary2022,Recent advances and applications of deep learning methods in materials science,2022,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
LauriHimanen2019,"Data-Driven Materials Science: Status, Challenges, and Perspectives",2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
RafaelSacks2020,Construction with digital twin information systems,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
EduardoMosqueiraRey2022,Human-in-the-loop machine learning: a state of the art,2022,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SamanthaCruzRivera2020,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
PawanBudhwar2023,Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SamanRazavi2020,The Future of Sensitivity Analysis: An essential discipline for systems modeling and policy support,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
LihuiWang2019,Symbiotic human-robot collaborative assembly,2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AnnaMarkellaAntoniadi2021,Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review,2021,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
TynaEloundou2023,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
ChamithadeAlwis2021,"Survey on 6G Frontiers: Trends, Applications, Requirements, Technologies and Future Research",2021,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
TongshuangWu2022,AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,2022,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
LongfeiZhou2024,Additive Manufacturing: A Comprehensive Review,2024,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MassimoMerenda2020,Edge Machine Learning for AI-Enabled IoT Devices: A Review,2020,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SomayyaMadakam2019,The Future Digital Work Force: Robotic Process Automation (RPA),2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MariiaGolovianko2023,"Industry 4.0 vs. Industry 5.0: Co-existence, Transition, or a Hybrid",2023,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
RabiaKhan2019,"A Survey on Security and Privacy of 5G Technologies: Potential Solutions, Recent Advancements, and Future Directions",2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MattLuckcuck2019,Formal Specification and Verification of Autonomous Robotic Systems,2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
ShaohuaWan2019,Cognitive computing and wireless communications on the edge for healthcare service robots,2019,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MuhammedSit2020,A comprehensive review of deep learning applications in hydrology and water resources,2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
TharakaHewa2020,"Survey on blockchain based smart contracts: Applications, opportunities and challenges",2020,exclude,missing I1,"Titulo e abstract nao mostram que a fonte descreve framework, metodo, toolkit, plataforma, IDE, CLI ou kit de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
DeepakBabuPiskala2026,Spec-Driven Development:From Code to Contract in the Age of AI Coding Assistants,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
KoseiHorikawa2025,Agentic Refactoring: An Empirical Study of AI Coding Agents,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
FeiGu2025,The Matthew Effect of AI Programming Assistants: A Hidden Bias in Software Evolution,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
RanjanSapkota2025,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AhmedEHassan2024,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,2024,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
NitishRatanAppanasamy2025,"The Evolution of Software Engineering in the Age of AI Collaboration: Opportunities, Challenges, and Future Implications",2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MicheleTufano2024,AutoDev: Automated AI-Driven Development,2024,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SeyedmoeinMohsenimofidi2025,Context Engineering for AI Agents in Open-Source Software,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
PdeSilva2025,The Impact of AI technologies on salary and industry demand for software engineering roles in Sri Lanka,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
SKaruppuchamy2026,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AkhilaHarinarayana2026,Agentic AI Revolutionizing Software Engineering,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
XiangzheXu2025,ASTRA: Autonomous Spatial-Temporal Red-teaming for AI Software Assistants,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AshifAnwar2025,Software Engineering Practices: In the era of AI / LLMs,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
LiyiCai2025,AI-Driven Self-Evolving Software: A Promising Path Toward Software Automation,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
EvgeniiLvov2025,AI-Driven Automation of Code Review Processes: Enhancing Software Quality and Reducing Human Error,2025,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
MarvinWyrich2026,Harnessing Hype to Teach Empirical Thinking: An Experience With AI Coding Assistants,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
CarlosRafaelCatalan2026,"""I'm Not Reading All of That"": Understanding Software Engineers'Level of Cognitive Engagement with Agentic Coding Assistants",2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
KoushikSen2026,KISS Sorcar: A Stupidly-Simple General-Purpose and Software Engineering AI Assistant,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AndreasRausch2026,Preparing Students for AI-Driven Agile Development: A Project-Based AI Engineering Curriculum,2026,include,I1,"Titulo e abstract indicam framework, metodo, workflow ou processo de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,include,AMENDED,Decision amended to include by I1. Titulo e abstract descrevem colaboracao verificavel entre assistentes agenticos de codigo em workflows de engenharia de software.,screening-logger,2026-05-27T12:03:00Z
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,include,AMENDED,"Decision amended to include by I1. Titulo descreve framework de assurance para orquestracao agentica com contratos, testes e governanca.",screening-logger,2026-05-27T12:03:00Z
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,include,AMENDED,Decision amended to include by I1. Titulo descreve framework para sincronizacao de artefatos de software multimodais.,screening-logger,2026-05-27T12:03:00Z
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,include,AMENDED,Decision amended to include by I1. Titulo aborda multi-agentic AI para design e modelagem automatizada de software.,screening-logger,2026-05-27T12:03:00Z
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,include,AMENDED,"Decision amended to include by I1. Titulo descreve framework de IA generativa para automacao de testes de software com design, implementacao e validacao.",screening-logger,2026-05-27T12:03:00Z
Parsons2025,AI Literacy Development for Software Engineering Education: Mapping AI from the SWEBOK to the SAIL Framework,2025,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de alfabetizacao em IA e educacao em engenharia de software, sem descrever framework de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
Georgievski2023,Software Development Life Cycle for Engineering AI Planning Systems,2023,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de ciclo de vida para engenharia de sistemas de planejamento em IA, nao de framework de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
AnnaMarkellaAntoniadi2021,Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review,2021,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de XAI em sistemas clinicos de apoio a decisao, fora do escopo de engenharia de software com IA.",screening-logger,2026-05-27T12:03:00Z
MassimoMerenda2020,Edge Machine Learning for AI-Enabled IoT Devices: A Review,2020,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de edge machine learning para dispositivos IoT, fora do escopo de frameworks de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
FeiGu2025,The Matthew Effect of AI Programming Assistants: A Hidden Bias in Software Evolution,2025,exclude,AMENDED,"Decision amended to exclude by E2. Fonte trata de efeito de assistentes de programacao, sem evidenciar workflow, artefatos persistentes ou framework proprio.",screening-logger,2026-05-27T12:03:00Z
KoseiHorikawa2025,Agentic Refactoring: An Empirical Study of AI Coding Agents,2025,exclude,AMENDED,"Decision amended to exclude by E3. Fonte foca refatoracao como tarefa isolada de engenharia de software, sem evidenciar framework ou processo amplo.",screening-logger,2026-05-27T12:03:00Z
PdeSilva2025,The Impact of AI technologies on salary and industry demand for software engineering roles in Sri Lanka,2025,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de salario e demanda de mercado, sem descrever framework de desenvolvimento de software com IA.",screening-logger,2026-05-27T12:03:00Z
EvgeniiLvov2025,AI-Driven Automation of Code Review Processes: Enhancing Software Quality and Reducing Human Error,2025,exclude,AMENDED,"Decision amended to exclude by E3. Fonte foca automacao de code review como tarefa isolada, sem evidenciar framework amplo de desenvolvimento com IA.",screening-logger,2026-05-27T12:03:00Z
MarvinWyrich2026,Harnessing Hype to Teach Empirical Thinking: An Experience With AI Coding Assistants,2026,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de ensino e pensamento empirico com assistentes de codigo, sem descrever framework de desenvolvimento com IA.",screening-logger,2026-05-27T12:03:00Z
CarlosRafaelCatalan2026,"""I'm Not Reading All of That"": Understanding Software Engineers'Level of Cognitive Engagement with Agentic Coding Assistants",2026,exclude,AMENDED,"Decision amended to exclude by E2. Fonte trata de engajamento cognitivo com assistentes de codigo, sem workflow ou artefatos persistentes proprios.",screening-logger,2026-05-27T12:03:00Z
KoushikSen2026,KISS Sorcar: A Stupidly-Simple General-Purpose and Software Engineering AI Assistant,2026,exclude,AMENDED,"Decision amended to exclude by E2. Fonte descreve assistente geral de IA para engenharia de software, sem evidenciar framework ou workflow proprio no titulo.",screening-logger,2026-05-27T12:03:00Z
AndreasRausch2026,Preparing Students for AI-Driven Agile Development: A Project-Based AI Engineering Curriculum,2026,exclude,AMENDED,"Decision amended to exclude by missing I1. Fonte trata de curriculo educacional para desenvolvimento agil com IA, fora do escopo de frameworks de desenvolvimento com IA.",screening-logger,2026-05-27T12:03:00Z
Macedo2026,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,2026,include,I1,Known framework in the approved scope; title describes a reverse documentation engineering framework that converts legacy software into operational specifications for AI agents.,screening-logger,2026-05-27T15:08:00Z
HamzaChniter2018,Multi-Agent Adaptive Architecture for Flexible Distributed Real-Time Systems,2018,exclude,missing I2/I3/I4,"Titulo e abstract mencionam IA em engenharia de software, mas nao mostram estrutura minima de framework, metodo, workflow, artefatos, papeis ou validacao.",screening-logger,2026-05-28T11:41:00Z
KashumiMadampe2021,A Faceted Taxonomy of Requirements Changes in Agile Contexts,2021,exclude,missing I2/I3/I4,"Titulo e abstract mencionam IA em engenharia de software, mas nao mostram estrutura minima de framework, metodo, workflow, artefatos, papeis ou validacao.",screening-logger,2026-05-28T11:41:00Z
VenusGarg2025,Designing the Mind: How Agentic Frameworks Are Shaping the Future of AI Behavior,2025,exclude,E8,"Titulo e abstract tratam IA ou agentes em outro dominio, sem analise substantiva de desenvolvimento de software com IA.",screening-logger,2026-05-28T11:41:00Z
Huang2025_2,Agentic AI,2025,exclude,E7,Registro sem abstract ou detalhes tecnicos suficientes para justificar inclusao no screening por titulo e abstract.,screening-logger,2026-05-28T11:41:00Z
CarlosMolinaJimnez2018,"Implementation of Smart Contracts Using Hybrid Architectures with On and Off-"Blockchain Components",2018,exclude,missing I2/I3/I4,"Titulo e abstract mencionam IA em engenharia de software, mas nao mostram estrutura minima de framework, metodo, workflow, artefatos, papeis ou validacao.",screening-logger,2026-05-28T11:41:00Z
