citation_key,title,year,reviewer1_decision,reviewer1_criterion,reviewer2_decision,reviewer2_criterion,notes
KoseiHorikawa2025,Agentic Refactoring: An Empirical Study of AI Coding Agents,2025,include,I1,,,
FeiGu2025,The Matthew Effect of AI Programming Assistants: A Hidden Bias in Software Evolution,2025,include,I1,,,
RanjanSapkota2025,Vibe Coding vs. Agentic Coding: Fundamentals and Practical Implications of Agentic AI,2025,include,I1,,,
AhmedEHassan2024,Towards AI-Native Software Engineering (SE 3.0): A Vision and a Challenge Roadmap,2024,include,I1,,,
NitishRatanAppanasamy2025,"The Evolution of Software Engineering in the Age of AI Collaboration: Opportunities, Challenges, and Future Implications",2025,include,I1,,,
MicheleTufano2024,AutoDev: Automated AI-Driven Development,2024,include,I1,,,
SeyedmoeinMohsenimofidi2025,Context Engineering for AI Agents in Open-Source Software,2025,include,I1,,,
PdeSilva2025,The Impact of AI technologies on salary and industry demand for software engineering roles in Sri Lanka,2025,include,I1,,,
SKaruppuchamy2026,AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation,2026,include,I1,,,
AkhilaHarinarayana2026,Agentic AI Revolutionizing Software Engineering,2026,include,I1,,,
XiangzheXu2025,ASTRA: Autonomous Spatial-Temporal Red-teaming for AI Software Assistants,2025,include,I1,,,
AshifAnwar2025,Software Engineering Practices: In the era of AI / LLMs,2025,include,I1,,,
LiyiCai2025,AI-Driven Self-Evolving Software: A Promising Path Toward Software Automation,2025,include,I1,,,
EvgeniiLvov2025,AI-Driven Automation of Code Review Processes: Enhancing Software Quality and Reducing Human Error,2025,include,I1,,,
MarvinWyrich2026,Harnessing Hype to Teach Empirical Thinking: An Experience With AI Coding Assistants,2026,include,I1,,,
CarlosRafaelCatalan2026,"""I'm Not Reading All of That"": Understanding Software Engineers'Level of Cognitive Engagement with Agentic Coding Assistants",2026,include,I1,,,
KoushikSen2026,KISS Sorcar: A Stupidly-Simple General-Purpose and Software Engineering AI Assistant,2026,include,I1,,,
AndreasRausch2026,Preparing Students for AI-Driven Agile Development: A Project-Based AI Engineering Curriculum,2026,include,I1,,,
Merchant2025,Verifiable Collaboration among Agentic Code Assistants using Blockchain for Software Engineering Workflows,2025,include,AMENDED,,,
Paduraru2026,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,include,AMENDED,,,
Paiva2026,Agentic RTE: A Framework for Synchronizing Multimodal Software Artifacts,2026,include,AMENDED,,,
Dam2025,Towards Multi-Agentic AI for automated software design and modelling: challenges and opportunities,2025,include,AMENDED,,,
KumarAle2024,"A Generative AI Framework for Enhancing Software Test Automation: Design, Implementation, and Validation",2024,include,AMENDED,,,
Parsons2025,AI Literacy Development for Software Engineering Education: Mapping AI from the SWEBOK to the SAIL Framework,2025,exclude,AMENDED,,,
Georgievski2023,Software Development Life Cycle for Engineering AI Planning Systems,2023,exclude,AMENDED,,,
AnnaMarkellaAntoniadi2021,Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review,2021,exclude,AMENDED,,,
MassimoMerenda2020,Edge Machine Learning for AI-Enabled IoT Devices: A Review,2020,exclude,AMENDED,,,
FeiGu2025,The Matthew Effect of AI Programming Assistants: A Hidden Bias in Software Evolution,2025,exclude,AMENDED,,,
KoseiHorikawa2025,Agentic Refactoring: An Empirical Study of AI Coding Agents,2025,exclude,AMENDED,,,
PdeSilva2025,The Impact of AI technologies on salary and industry demand for software engineering roles in Sri Lanka,2025,exclude,AMENDED,,,
EvgeniiLvov2025,AI-Driven Automation of Code Review Processes: Enhancing Software Quality and Reducing Human Error,2025,exclude,AMENDED,,,
MarvinWyrich2026,Harnessing Hype to Teach Empirical Thinking: An Experience With AI Coding Assistants,2026,exclude,AMENDED,,,
CarlosRafaelCatalan2026,"""I'm Not Reading All of That"": Understanding Software Engineers'Level of Cognitive Engagement with Agentic Coding Assistants",2026,exclude,AMENDED,,,
KoushikSen2026,KISS Sorcar: A Stupidly-Simple General-Purpose and Software Engineering AI Assistant,2026,exclude,AMENDED,,,
AndreasRausch2026,Preparing Students for AI-Driven Agile Development: A Project-Based AI Engineering Curriculum,2026,exclude,AMENDED,,,
Macedo2026,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,2026,include,I1,,,
HamzaChniter2018,Multi-Agent Adaptive Architecture for Flexible Distributed Real-Time Systems,2018,exclude,missing I2/I3/I4,,,
KashumiMadampe2021,A Faceted Taxonomy of Requirements Changes in Agile Contexts,2021,exclude,missing I2/I3/I4,,,
VenusGarg2025,Designing the Mind: How Agentic Frameworks Are Shaping the Future of AI Behavior,2025,exclude,E8,,,
Huang2025_2,Agentic AI,2025,exclude,E7,,,
CarlosMolinaJimnez2018,"Implementation of Smart Contracts Using Hybrid Architectures with On and Off-Blockchain Components""",2018,exclude,missing I2/I3/I4,,,
MahRukhFida2019,Uncovering mobile infrastructure in developing countries with crowdsourced measurements,2019,exclude,E8,,,
StephenSYau2020,Application of Blockchain for Trusted Coordination in Collaborative Software Development,2020,exclude,missing I2/I3/I4,,,
FabriceLumineau2020,"Blockchain Governance-A New Way of Organizing Collaborations?""",2020,exclude,E8,,,
SelinaDemi2021,Software Engineering Applications Enabled by Blockchain Technology: A Systematic Mapping Study,2021,exclude,missing I2/I3/I4,,,
ZiweiJi2022,Survey of Hallucination in Natural Language Generation,2022,exclude,E8,,,
DeepakBhaskarAcharya2025,"Agentic AI: Autonomous Intelligence for Complex Goals-A Comprehensive Survey""",2025,exclude,missing I2/I3/I4,,,
NgocHuyTruong2018,Developers' Needs and Severity Conceptions of Usability Problems,2018,exclude,missing I2/I3/I4,,,
BasmaHamrouni2021,Explainable Ontology-Based Intelligent Decision Support System for Business Model Design and Sustainability,2021,exclude,missing I2/I3/I4,,,
JiamingWang2021,"Research Trends of Human-Computer Interaction Studies in Construction Hazard Recognition: A Bibliometric Review""",2021,exclude,missing I1,,,
TomMens2019,The Social Developer: The Future of Software Development [Guest Editors' Introduction],2019,exclude,missing I2/I3/I4,,,
AndrNMeyer2019,Today Was a Good Day: The Daily Life of Software Developers,2019,exclude,missing I2/I3/I4,,,
RobertKYin2018,Case study research and applications design and methods,2018,exclude,E8,,,
AlexeySvyatkovskiy2019,Pythia: AI-assisted Code Completion System,2019,exclude,E2,,,
RalucaFlorea2019,A Global View on the Hard Skills and Testing Tools in Software Testing,2019,exclude,missing I1,,,
JanBosch2021,Digital for real: A multicase study on the digital transformation of companies in the embedded systems domain,2021,exclude,missing I2/I3/I4,,,
EmilyMBender2021,On the Dangers of Stochastic Parrots,2021,exclude,E8,,,
NicoleForsgren2021,The SPACE of Developer Productivity,2021,exclude,missing I1,,,
JohanERavn2022,Team autonomy and digital transformation,2022,exclude,missing I2/I3/I4,,,
JiaoSun2022,Investigating Explainability of Generative AI for Code through Scenario-based Design,2022,exclude,E3,,,
ViktoriaStray2022,How agile teams make Objectives and Key Results (OKRs) work,2022,exclude,E8,,,
AnastasiiaTkalich2022,Toward an Agile Product Management: What Do Product Managers Do in Agile Companies?,2022,exclude,missing I1,,,
ChristianBird2022,Taking Flight with Copilot,2022,exclude,E2,,,
StevenRoss2023,The Programmer's Assistant: Conversational Interaction with a Large Language Model for Software Development,2023,exclude,E2,,,
JulesWhite2023,"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design",2023,include,I1,,,
ErikBrynjolfsson2023,Generative AI at Work,2023,exclude,E8,,,
MartheBerntzen2023,Responding to change over time: A longitudinal case study on changes in coordination mechanisms in large-scale agile,2023,exclude,missing I2/I3/I4,,,
AnastasiiaTkalich2023,Pair Programming Practiced in Hybrid Work,2023,exclude,missing I2/I3/I4,,,
JEdwardHu2021,LoRA: Low-Rank Adaptation of Large Language Models,2021,exclude,E8,,,
CharviRastogi2023,A Taxonomy of Human and ML Strengths in Decision-Making to Investigate Human-ML Complementarity,2023,exclude,E8,,,
AnaCMarcn2024,A Systematic Literature Review of Model-Driven Engineering Using Machine Learning,2024,exclude,missing I2/I3/I4,,,
DanieleDeBari2024,Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,2024,exclude,missing I2/I3/I4,,,
ChristophTreude2025,How Developers Interact with AI: A Taxonomy of Human-AI Collaboration in Software Engineering,2025,include,I1,,,
MohammadMahdiAbootorabi2025,Ask in Any Modality: A Comprehensive Survey on Multimodal Retrieval-Augmented Generation,2025,exclude,E8,,,
JianhongShun2025,Revolutionizing Large Model Fine-Tuning: The Role of LoRA in Parameter-Efficient Adaptation,2025,exclude,E8,,,
JunjieWang2024,"Software Testing With Large Language Models: Survey, Landscape, and Vision",2024,exclude,E3,,,
AlessioFerrari2024,Model Generation with LLMs: From Requirements to UML Sequence Diagrams,2024,exclude,E3,,,
FidaZubair2024,The use of large language models for program repair,2024,exclude,E3,,,
JundaHe2025,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,include,I1,,,
EriksKlotins2019,"A Progression Model of Software Engineering Goals, Challenges, and Practices in Start-Ups",2019,exclude,missing I2/I3/I4,,,
EriksKlotins2021,SIoT Framework: Towards an Approach for Early Identification of Security Requirements for Internet-of-things Applications,2021,exclude,missing I2/I3/I4,,,
MohsinShaikh2022,Open-source electronic health record systems: A systematic review of most recent advances,2022,exclude,missing I2/I3/I4,,,
JSauvola2024,Future of software development with generative AI,2024,include,I1,,,
KevinZheyuanCui2024,The Productivity Effects of Generative AI: Evidence from a Field Experiment with GitHub Copilot,2024,exclude,missing I2/I3/I4,,,
AyyappaSajja2024,Integrating Generative AI into the Software Development Lifecycle: Impacts on Code Quality and Maintenance,2024,include,I1,,,
MitulModi2024,Transforming Software Development Through Generative AI : A Systematic Analysis of Automated Development Practices,2024,include,I1,,,
AmyWhitaker2024,Who Owns AI?,2024,exclude,E8,,,
ShreyasPangavhane2024,AI-Augmented Software Development: Boosting Efficiency and Quality,2024,include,I1,,,
KRRaghi2024,Software Development Automation Using Generative AI,2024,include,I1,,,
TBBrown2023,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Collapse, and Cosmological Portal Dynamics",2023,exclude,missing I2/I3/I4,,,
RashinaHoda2021,Socio-Technical Grounded Theory for Software Engineering,2021,exclude,missing I2/I3/I4,,,
BoLi2022,Trustworthy AI: From Principles to Practices,2022,exclude,E8,,,
DavinderKaur2022,Trustworthy Artificial Intelligence: A Review,2022,exclude,missing I2/I3/I4,,,
FangHou2022,A systematic literature review on trust in the software ecosystem,2022,exclude,missing I2/I3/I4,,,
HazrinaSofian2022,Systematic Mapping: Artificial Intelligence Techniques in Software Engineering,2022,exclude,missing I2/I3/I4,,,
DanielRusso2024,Navigating the Complexity of Generative AI Adoption in Software Engineering,2024,include,I1,,,
DayeNam2024,Using an LLM to Help With Code Understanding,2024,exclude,missing I2/I3/I4,,,
HaonanLi2024,Enhancing Static Analysis for Practical Bug Detection: An LLM-Integrated Approach,2024,exclude,E3,,,
ShuaicaiRen2024,Combining Prompts with Examples to Enhance LLM-Based Requirement Elicitation,2024,exclude,E3,,,
XinyiHou2024,Large Language Models for Software Engineering: A Systematic Literature Review,2024,exclude,missing I2/I3/I4,,,
ChristopherSTimperley2021,Understanding and improving artifact sharing in software engineering research,2021,exclude,missing I2/I3/I4,,,
JunaedYounusKhan2022,Automatic Code Documentation Generation Using GPT-3,2022,exclude,E3,,,
AlokMathur2023,Automated Test Case Generation Using T5 and GPT-3,2023,exclude,E3,,,
MohammedLatifSiddiq2024,Using Large Language Models to Generate JUnit Tests: An Empirical Study,2024,exclude,E3,,,
HammondPearce2025,Asleep at the Keyboard? Assessing the Security of GitHub Copilot's Code Contributions,2025,exclude,E3,,,
HamzaChniter2018,Multi-Agent Adaptive Architecture for Flexible Distributed Real-Time Systems,2018,exclude,AMENDED:missing I1,,,
KashumiMadampe2021,A Faceted Taxonomy of Requirements Changes in Agile Contexts,2021,exclude,AMENDED:missing I1,,,
CarlosMolinaJimnez2018,"Implementation of Smart Contracts Using Hybrid Architectures with On and Off-""Blockchain Components",2018,exclude,AMENDED:missing I1,,,
StephenSYau2020,Application of Blockchain for Trusted Coordination in Collaborative Software Development,2020,exclude,AMENDED:missing I1,,,
FabriceLumineau2020,"Blockchain Governance-""A New Way of Organizing Collaborations?",2020,exclude,AMENDED:missing I1,,,
SelinaDemi2021,Software Engineering Applications Enabled by Blockchain Technology: A Systematic Mapping Study,2021,exclude,AMENDED:missing I1,,,
ZiweiJi2022,Survey of Hallucination in Natural Language Generation,2022,exclude,AMENDED:missing I1,,,
NgocHuyTruong2018,Developers' Needs and Severity Conceptions of Usability Problems,2018,exclude,AMENDED:missing I1,,,
BasmaHamrouni2021,Explainable Ontology-Based Intelligent Decision Support System for Business Model Design and Sustainability,2021,exclude,AMENDED:missing I1,,,
TomMens2019,The Social Developer: The Future of Software Development [Guest Editors' Introduction],2019,exclude,AMENDED:missing I1,,,
AndrNMeyer2019,Today Was a Good Day: The Daily Life of Software Developers,2019,exclude,AMENDED:missing I1,,,
JohanERavn2022,Team autonomy and digital transformation,2022,exclude,AMENDED:missing I1,,,
ViktoriaStray2022,How agile teams make Objectives and Key Results (OKRs) work,2022,exclude,AMENDED:missing I1,,,
MartheBerntzen2023,Responding to change over time: A longitudinal case study on changes in coordination mechanisms in large-scale agile,2023,exclude,AMENDED:missing I1,,,
AnastasiiaTkalich2023,Pair Programming Practiced in Hybrid Work,2023,exclude,AMENDED:missing I1,,,
DanieleDeBari2024,Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,2024,exclude,AMENDED:E3,,,
EriksKlotins2019,"A Progression Model of Software Engineering Goals, Challenges, and Practices in Start-Ups",2019,exclude,AMENDED:missing I1,,,
EriksKlotins2021,SIoT Framework: Towards an Approach for Early Identification of Security Requirements for Internet-of-things Applications,2021,exclude,AMENDED:missing I1,,,
MohsinShaikh2022,Open-source electronic health record systems: A systematic review of most recent advances,2022,exclude,AMENDED:missing I1,,,
KevinZheyuanCui2024,The Productivity Effects of Generative AI: Evidence from a Field Experiment with GitHub Copilot,2024,exclude,AMENDED:E2,,,
RashinaHoda2021,Socio-Technical Grounded Theory for Software Engineering,2021,exclude,AMENDED:missing I1,,,
DavinderKaur2022,Trustworthy Artificial Intelligence: A Review,2022,exclude,AMENDED:E8,,,
FangHou2022,A systematic literature review on trust in the software ecosystem,2022,exclude,AMENDED:missing I1,,,
DayeNam2024,Using an LLM to Help With Code Understanding,2024,exclude,AMENDED:E2,,,
ShuaicaiRen2024,Combining Prompts with Examples to Enhance LLM-Based Requirement Elicitation,2024,exclude,AMENDED:E3,,,
ChristopherSTimperley2021,Understanding and improving artifact sharing in software engineering research,2021,exclude,AMENDED:missing I1,,,
PrestonGSmith2020,Proactive Risk Management,2020,exclude,missing I1,,,
JunjieChen2020,A Survey of Compiler Testing,2020,exclude,missing I1,,,
SamarAlSaqqa2020,Agile Software Development: Methodologies and Trends,2020,exclude,missing I1,,,
YasamanBahri2024,Explaining neural scaling laws,2024,exclude,E8,,,
NasifImtiaz2021,A comparative study of vulnerability reporting by software composition analysis tools,2021,exclude,missing I1,,,
LinaMarkauskait2022,Rethinking the entwinement between artificial intelligence and human learning: What capabilities do learners need for a world with AI?,2022,exclude,E8,,,
Anon2022,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis,2022,exclude,E7,,,
Anon2022_2,Proceedings of the 30th IEEE/ACM International Conference on Program Comprehension,2022,exclude,E7,,,
NoahShinn2023,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,exclude,E8,,,
GuohaoLi2023,"CAMEL: Communicative Agents for ""Mind"" Exploration of Large Language Model Society",2023,exclude,E8,,,
JRHorton2023,Large Language Models as Simulated Economic Agents: What Can We Learn from Homo Silicus?,2023,exclude,E8,,,
JiaweiLiu2023,Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation,2023,exclude,E1,,,
JundaHe2023,Representation Learning for Stack Overflow Posts: How Far Are We?,2023,exclude,missing I1,,,
ZhenpengChen2024,Fairness Testing: A Comprehensive Survey and Analysis of Trends,2024,exclude,E3,,,
MichaelCFu2023,"ChatGPT for Vulnerability Detection, Classification, and Repair: How Far Are We?",2023,exclude,E3,,,
ChunqiuStevenXia2024,Fuzz4All: Universal Fuzzing with Large Language Models,2024,exclude,E3,,,
MaryamTaeb2024,AXNav: Replaying Accessibility Tests from Natural Language,2024,exclude,E3,,,
JuyeonYoon2024,Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents,2024,exclude,E3,,,
YuntongZhang2024,AutoCodeRover: Autonomous Program Improvement,2024,include,I1,,,
Anon2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,2024,exclude,E7,,,
ZhensuSun2024,AI Coders Are among Us: Rethinking Programming Language Grammar towards Efficient Code Generation,2024,exclude,E3,,,
HanbinWang2024,INTERVENOR: Prompting the Coding Ability of Large Language Models with the Interactive Chain of Repair,2024,exclude,E3,,,
ZeeshanRasheed2024,Codepori: Large-Scale System for Autonomous Software Development Using Multi-Agent Technology,2024,include,I1,,,
HuanZhang2024,A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,2024,include,I1,,,
VasiliosMavroudis2024,LangChain,2024,exclude,E8,,,
XinZhou2024,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,2024,exclude,E3,,,
SungminKang2024,Explainable automated debugging via large language model-driven scientific debugging,2024,exclude,E3,,,
SaiZhang2025,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,2025,include,I1,,,
VivankSharma2019,Machine Learning based Predictive Analysis for failure of monitored control System,2019,exclude,missing I1,,,
RajivKohli2018,Digital innovation:Areview and synthesis,2018,exclude,missing I1,,,
KlaasJanStol2018,The ABC of Software Engineering Research,2018,exclude,missing I1,,,
DanielRusso2018,A Meta-Model for Information Systems Quality,2018,exclude,missing I1,,,
AriHoltzman2019,The Curious Case of Neural Text Degeneration,2019,exclude,E8,,,
MaiSkjttLinneberg2019,Coding qualitative data: a synthesis guiding the novice,2019,exclude,missing I1,,,
GalitShmueli2019,Predictive model assessment in PLS-SEM: guidelines for using PLSpredict,2019,exclude,missing I1,,,
JaredKaplan2020,Scaling Laws for Neural Language Models,2020,exclude,E8,,,
StineGrodal2020,Achieving Rigor in Qualitative Analysis: The Role of Active Categorization in Theory Building,2020,exclude,missing I1,,,
DanielRusso2021,PLS-SEM for Software Engineering Research,2021,exclude,missing I1,,,
DanielRusso2021_2,The Agile Success Model,2021,exclude,missing I1,,,
EmmanuelSeniorTenakwah2021,What do employees want? Halting record-setting turnovers globally,2021,exclude,missing I1,,,
PriyanVaithilingam2022,Expectation vs. Experience: Evaluating the Usability of Code Generation Tools Powered by Large Language Models,2022,exclude,E2,,,
HusseinMozannar2022,Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,2022,exclude,E2,,,
RuijiaCheng2022,"""It would work for me too"": How Online Communities Shape Software Developers' Trust in AI-Powered Code Generation Tools",2022,exclude,E2,,,
AntonioMastropaolo2023,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,2023,exclude,E2,,,
BeiqiZhang2023,Practices and Challenges of Using GitHub Copilot: An Empirical Study,2023,exclude,E2,,,
BeiqiZhang2023_2,Practices and Challenges of Using GitHub Copilot: An Empirical Study,2023,exclude,E5,,,
RuotongWang2023,Investigating and Designing for Trust in AI-powered Code Generation Tools,2023,exclude,E2,,,
GarridoMerchn2023,"An Automated Survey of Generative Artificial Intelligence: Large Language Models, Architectures, Protocols, and Applications",2023,exclude,E8,,,
pekzkaya2023,The Next Frontier in Software Development: AI-Augmented Software Development Processes,2023,include,I1,,,
YanjieGao2023,An Empirical Study on Quality Issues of Deep Learning Platform,2023,exclude,missing I1,,,
AlexandruMarginean2019,SapFix: Automated End-to-End Repair at Scale,2019,exclude,E3,,,
XiangGao2019,Crash-avoiding program repair,2019,exclude,E3,,,
AnilKoyuncu2019,iFixR: bug report driven program repair,2019,exclude,E3,,,
QihaoZhu2021,A syntax-guided edit decoder for neural program repair,2021,exclude,E3,,,
YujiaLi2022,Competition-level code generation with AlphaCode,2022,exclude,E1,,,
MichaelCFu2022,VulRepair: a T5-based automated software vulnerability repair,2022,exclude,E3,,,
